2.147.200.0	2.147.207.255	Iran Cell Service and Communication Company
2.147.208.0	2.147.215.255	Iran Cell Service and Communication Company
2.147.216.0	2.147.223.255	Iran Cell Service and Communication Company
2.147.224.0	2.147.231.255	Iran Cell Service and Communication Company
2.147.232.0	2.147.239.255	Iran Cell Service and Communication Company
2.147.240.0	2.147.247.255	Iran Cell Service and Communication Company
2.147.248.0	2.147.255.255	Iran Cell Service and Communication Company
2.176.0.0	2.177.255.255	Iran Telecommunication Company Pjs
2.178.0.0	2.178.255.255	Iran Telecommunication Company Pjs
2.179.0.0	2.179.7.255	Iran Telecommunication Company Pjs
2.179.8.0	2.179.11.255	Iran Telecommunication Company Pjs
2.179.12.0	2.179.15.255	Iran Telecommunication Company Pjs
2.179.16.0	2.179.19.255	Iran Telecommunication Company Pjs
2.179.20.0	2.179.23.255	Iran Telecommunication Company Pjs
2.179.24.0	2.179.27.255	Iran Telecommunication Company Pjs
2.179.28.0	2.179.31.255	Iran Telecommunication Company Pjs
2.179.32.0	2.179.39.255	Iran Telecommunication Company Pjs
2.179.40.0	2.179.47.255	Iran Telecommunication Company Pjs
2.179.48.0	2.179.51.255	Iran Telecommunication Company Pjs
2.179.52.0	2.179.53.255	Iran Telecommunication Company Pjs
2.179.54.0	2.179.55.255	Iran Telecommunication Company Pjs
2.179.56.0	2.179.59.255	Iran Information Technology Company PJSC
2.179.60.0	2.179.61.255	Iran Telecommunication Company Pjs
2.179.62.0	2.179.63.255	Iran Telecommunication Company Pjs
2.179.64.0	2.179.79.255	Iran Telecommunication Company Pjs
2.179.80.0	2.179.95.255	Iran Telecommunication Company Pjs
2.179.96.0	2.179.111.255	Iran Telecommunication Company Pjs
2.179.112.0	2.179.127.255	Iran Telecommunication Company Pjs
2.179.128.0	2.179.159.255	Iran Telecommunication Company Pjs
2.179.160.0	2.179.163.255	Iran Telecommunication Company Pjs
2.179.164.0	2.179.167.255	Iran Telecommunication Company Pjs
2.179.168.0	2.179.168.255	Iran Information Technology Company PJSC
2.179.169.0	2.179.169.255	Iran Telecommunication Company Pjs
2.179.170.0	2.179.170.255	Iran Telecommunication Company Pjs
2.179.171.0	2.179.171.255	Iran Telecommunication Company Pjs
